"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","GO:0042110","T cell activation","191/2549","464/18670",9.09238958318713e-50,5.62546143511788e-46,4.55002316615491e-46,"IRF4/LAX1/SLAMF6/CARD11/CCDC88B/RASAL3/CAMK4/SIRPG/LILRB1/BTLA/CORO1A/LCK/TIGIT/RHOH/PTPRC/WAS/TNFRSF13C/TESPA1/DOCK2/SASH3/TCF7/RIPOR2/ZAP70/JAK3/AIRE/PLA2G2D/CD27/CLECL1/PDCD1/ITGAL/EOMES/JAML/CD6/KLRK1/NLRC3/CTLA4/LY9/GRAP2/IL12RB1/VAV1/PTPN6/NOD2/CD3D/ADORA2A/ICOS/PTPN22/LAG3/RAC2/CD2/TNFSF11/ITK/RASGRP1/GPR18/CD3E/RUNX3/TREML2/TNFRSF18/DOCK8/IL4R/SIT1/CD28/SPN/BCL11B/BATF/MYB/SLA2/PIK3CD/BTN2A2/FANCD2/CD5/APBB1IP/CD40LG/TBX21/CD300A/CD3G/NCKAP1L/CD7/HLA-DMB/CSK/LCP1/MICB/FUT7/HLA-DOA/CCR6/HLA-DPB1/CCR9/IL7R/TCIRG1/ADAM8/THEMIS/IL12A/CASP8/BTN3A1/ADA/P2RX7/CD8B/CCR7/TMEM131L/CD1C/PAG1/CD70/CD274/CCR2/CD8A/CR1/RUNX2/ELF4/CCL19/FANCA/CD86/ITPKB/FOXP3/GNRH1/TMIGD2/DUSP22/RELB/FCGR2B/SIRPB1/TNFRSF1B/IL1B/FOXN1/CD83/PYCARD/IRF1/MALT1/IHH/LAT/NLRP3/PSMB10/HLA-DPA1/HLX/CGAS/IL23A/XCL1/HAVCR2/TNFSF4/IFNG/IL18/STAT6/NFATC2/HHLA2/ZMIZ1/TNFAIP8L2/CD74/B2M/PIK3CG/TNFSF8/WNT1/GLI3/F2RL1/SPINK5/LGALS9C/GPR183/SH3RF1/CASP3/CYLD/TNFSF9/NCSTN/ABL1/TNFRSF14/CD80/GATA3/CLEC7A/FLOT2/HLA-G/LEF1/DTX1/LIG4/CD4/TNFSF13B/IL18R1/PATZ1/TGFB1/NFKBID/TNFRSF4/PRKAR1A/IDO1/AP3B1/LGALS9/FYN/IGF1/BAX/LILRB4/LYN/RIPK3/IL4/LFNG/LILRB2/PRR7/IL7/SOCS6",191
"GO:0030098","GO:0030098","lymphocyte differentiation","152/2549","353/18670",1.46116559310861e-42,4.52011576228147e-39,3.65599012086227e-39,"MS4A1/CD19/CD79A/FCRL3/CR2/IRF4/SLAMF6/CARD11/IKZF1/CD79B/CAMK4/INPP5D/BTK/LCK/POU2F2/RHOH/PTPRC/TESPA1/DOCK2/SASH3/TCF7/ZAP70/JAK3/AIRE/PLA2G2D/CD27/IKZF3/EOMES/CTLA4/LY9/IL12RB1/VAV1/PTPN6/ITGA4/CD3D/PLCG2/PTPN22/LAG3/CD2/ITK/RASGRP1/GPR18/CD3E/RUNX3/TNFRSF18/DOCK10/IL4R/CD28/SPN/BCL11B/BATF/MYB/PIK3CD/BTN2A2/FANCD2/PTK2B/CD40LG/TBX21/CD3G/NCKAP1L/AICDA/TOX/FUT7/HLA-DOA/CCR6/CCR9/IL7R/TCIRG1/ADAM8/THEMIS/IL12A/ATM/ADA/CCR7/TMEM131L/HDAC9/CCR2/CD8A/CR1/RUNX2/SPI1/CCL19/FANCA/CD86/ITPKB/FOXP3/RELB/NFAM1/FCGR2B/LYL1/C17orf99/FLT3LG/INHA/FOXN1/BLNK/CD83/IRF1/MALT1/IHH/NLRP3/HLX/IL23A/TNFSF4/IFNG/PGLYRP2/IL18/STAT6/NFATC2/ZMIZ1/CD74/B2M/MIR17HG/TNFSF8/WNT1/GLI3/SPINK5/HMGB3/ITGB1/GPR183/ATP11C/SH3RF1/CYLD/TNFSF9/ABL1/CD80/GATA3/BAK1/HLA-G/LEF1/DTX1/LIG4/CD4/TLR9/TCF3/MFNG/IL18R1/PATZ1/TGFB1/NFKBID/AP3B1/LGALS9/ITFG2/BAX/LILRB4/RIPK3/IL4/PPP2R3C/LFNG/LILRB2/PRR7/CMTM7/IL7",152
"GO:0051249","GO:0051249","regulation of lymphocyte activation","180/2549","485/18670",1.60575592651696e-39,3.31160397245347e-36,2.67851357005671e-36,"CD19/FCRL3/MZB1/IGLL5/IRF4/LAX1/CARD11/TNFRSF13B/CCDC88B/RASAL3/CAMK4/SIRPG/LILRB1/BTLA/INPP5D/BTK/CORO1A/LCK/TIGIT/PTPRC/TNFRSF13C/TESPA1/SASH3/RIPOR2/ZAP70/JAK3/PLA2G2D/CD27/CLECL1/PDCD1/IKZF3/CD6/KLRK1/CTLA4/GRAP2/IL12RB1/VAV1/PTPN6/NOD2/ADORA2A/ICOS/PTPN22/LAG3/RAC2/CD2/TNFSF11/RASGRP1/CD3E/RUNX3/TNFRSF18/BANK1/DOCK8/IL4R/SIT1/CD28/SPN/HLA-F/MYB/SLA2/BTN2A2/FANCD2/CD5/CD40LG/TBX21/CD300A/NCKAP1L/HLA-DMB/CSK/TOX/LST1/HLA-DOA/HLA-DPB1/IL7R/ADAM8/IL12A/IGLL1/ATM/ADA/CCR7/TMEM131L/PAG1/CD70/CD40/CD274/CCR2/CR1/CCL19/IL27RA/CD22/TNFAIP3/FANCA/CD86/PKN1/ITPKB/FOXP3/GNRH1/TMIGD2/MAD2L2/DUSP22/NFAM1/FCGR2B/SIRPB1/TNFRSF1B/FLT3LG/IL1B/INHA/FOXN1/CD83/PYCARD/IRF1/MALT1/SAMSN1/IHH/LAT/NLRP3/HLA-DPA1/HLX/APLF/CGAS/IL23A/XCL1/HAVCR2/TNFSF4/IFNG/PGLYRP2/IL18/STAT6/NFATC2/HHLA2/ZMIZ1/TNFAIP8L2/CD74/MIR17HG/TNFSF8/GLI3/CHRNB2/SPINK5/HMGB3/LGALS9C/GPR183/ATP11C/SH3RF1/CASP3/CYLD/TNFSF9/ABL1/TNFRSF14/CD80/GATA3/CLEC7A/FLOT2/HLA-G/DTX1/CD4/TLR9/CD38/TNFSF13B/SHLD3/TGFB1/MEF2C/NFKBID/TNFRSF4/MNDA/PRKAR1A/IDO1/AP3B1/LGALS9/FYN/IGF1/LILRB4/LYN/RIPK3/TYROBP/IRS2/IL4/PPP2R3C/LILRB2/ATAD5/IL7/SOCS6",180
"GO:0050863","GO:0050863","regulation of T cell activation","136/2549","314/18670",1.68055876406598e-38,2.59940426831905e-35,2.1024674643078e-35,"IRF4/LAX1/CARD11/CCDC88B/RASAL3/CAMK4/SIRPG/LILRB1/BTLA/CORO1A/LCK/TIGIT/PTPRC/TNFRSF13C/TESPA1/SASH3/RIPOR2/ZAP70/JAK3/PLA2G2D/CD27/CLECL1/PDCD1/CD6/KLRK1/CTLA4/GRAP2/IL12RB1/VAV1/PTPN6/NOD2/ADORA2A/ICOS/PTPN22/LAG3/RAC2/CD2/TNFSF11/RASGRP1/CD3E/RUNX3/TNFRSF18/DOCK8/IL4R/SIT1/CD28/SPN/MYB/BTN2A2/FANCD2/CD5/CD40LG/TBX21/CD300A/NCKAP1L/HLA-DMB/CSK/HLA-DOA/HLA-DPB1/IL7R/ADAM8/IL12A/ADA/CCR7/TMEM131L/PAG1/CD70/CD274/CCR2/CR1/CCL19/FANCA/CD86/ITPKB/FOXP3/GNRH1/TMIGD2/DUSP22/FCGR2B/SIRPB1/TNFRSF1B/IL1B/FOXN1/CD83/PYCARD/IRF1/MALT1/IHH/LAT/NLRP3/HLA-DPA1/HLX/CGAS/IL23A/XCL1/HAVCR2/TNFSF4/IFNG/IL18/NFATC2/HHLA2/ZMIZ1/TNFAIP8L2/CD74/TNFSF8/GLI3/SPINK5/LGALS9C/SH3RF1/CASP3/CYLD/TNFSF9/ABL1/TNFRSF14/CD80/GATA3/FLOT2/HLA-G/DTX1/CD4/TNFSF13B/TGFB1/NFKBID/PRKAR1A/IDO1/AP3B1/LGALS9/FYN/IGF1/LILRB4/LYN/RIPK3/IL4/LILRB2/IL7/SOCS6",136
"GO:0030217","GO:0030217","T cell differentiation","110/2549","240/18670",4.75359889104624e-34,5.88210326778062e-31,4.75760192169133e-31,"IRF4/SLAMF6/CARD11/CAMK4/LCK/RHOH/PTPRC/TESPA1/DOCK2/SASH3/TCF7/ZAP70/JAK3/AIRE/PLA2G2D/CD27/EOMES/CTLA4/LY9/IL12RB1/VAV1/CD3D/PTPN22/LAG3/CD2/ITK/RASGRP1/GPR18/CD3E/RUNX3/TNFRSF18/IL4R/CD28/SPN/BCL11B/BATF/MYB/PIK3CD/BTN2A2/FANCD2/TBX21/CD3G/NCKAP1L/FUT7/HLA-DOA/CCR6/CCR9/IL7R/TCIRG1/ADAM8/THEMIS/IL12A/ADA/CCR7/TMEM131L/CCR2/CD8A/CR1/RUNX2/CCL19/FANCA/CD86/ITPKB/FOXP3/RELB/FOXN1/CD83/IRF1/MALT1/IHH/NLRP3/HLX/IL23A/TNFSF4/IFNG/IL18/STAT6/NFATC2/ZMIZ1/CD74/B2M/TNFSF8/WNT1/GLI3/SPINK5/GPR183/SH3RF1/CYLD/TNFSF9/ABL1/CD80/GATA3/HLA-G/LEF1/DTX1/LIG4/CD4/IL18R1/PATZ1/TGFB1/NFKBID/AP3B1/LGALS9/LILRB4/RIPK3/IL4/LFNG/LILRB2/PRR7/IL7",110
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","134/2549","337/18670",3.31070137079594e-33,3.41388489685241e-30,2.76124110820419e-30,"LAX1/CARD11/CCDC88B/RASAL3/SIRPG/LILRB1/BTLA/CORO1A/LCK/TIGIT/PTPRC/TNFRSF13C/TESPA1/SASH3/RIPOR2/ZAP70/JAK3/PLA2G2D/CD27/CLECL1/PDCD1/ITGAL/CD6/KLRK1/CTLA4/GRAP2/IL12RB1/VAV1/PTPN6/SELL/NOD2/ITGA4/ADORA2A/ICOS/PTPN22/LAG3/RAC2/TNFSF11/RASGRP1/CD3E/RUNX3/DOCK8/IL4R/CD28/SPN/SKAP1/MYB/BTN2A2/STK10/CD5/CD40LG/TBX21/CD300A/NCKAP1L/HLA-DMB/CSK/ITGB7/HLA-DPB1/IL7R/ADAM8/IL12A/ADA/CCR7/TMEM131L/PAG1/CD70/TNF/CD274/ADTRP/FERMT3/CCR2/SEMA4D/ITGB2/SELPLG/CCL19/CD86/ITPKB/FOXP3/GNRH1/TMIGD2/DUSP22/FCGR2B/SIRPB1/IL1B/CD83/PYCARD/IRF1/MALT1/IHH/NLRP3/HLA-DPA1/HLX/IL23A/XCL1/HAVCR2/TNFSF4/IFNG/IL18/HHLA2/ZMIZ1/TNIP1/TNFAIP8L2/CD74/GLI3/CCL25/ITGB1/LGALS9C/CASP3/CYLD/TNFSF9/TNFRSF14/CD80/CLEC4M/NFAT5/GATA3/FLOT2/HLA-G/DTX1/CD4/TNFSF13B/TGFB1/NFKBID/PRKAR1A/IDO1/AP3B1/LGALS9/FYN/IGF1/LILRB4/LYN/IL4/LILRB2/IL7/SOCS6",134
"GO:0070661","GO:0070661","leukocyte proliferation","124/2549","298/18670",4.28860582697433e-33,3.79051489307003e-30,3.06586948893774e-30,"MS4A1/CD19/CD79A/FCRL3/CR2/MZB1/CARD11/TNFRSF13B/CCDC88B/RASAL3/LILRB1/GAPT/INPP5D/BTK/CORO1A/PTPRC/TNFRSF13C/DOCK2/SASH3/ZAP70/JAK3/PLA2G2D/CLECL1/IKZF3/CD6/CTLA4/IL12RB1/PTPN6/PTPN22/RAC2/TNFSF11/CD3E/DOCK8/CD28/SPN/BTN2A2/CD180/CD40LG/CD300A/NCKAP1L/HLA-DMB/LST1/HLA-DPB1/IL7R/TCIRG1/IL12A/ATM/BTN3A1/ADA/P2RX7/TMEM131L/CD70/CD40/CD274/CCR2/ELF4/CCL19/CD22/TNFAIP3/CD86/PKN1/FOXP3/GNRH1/IMPDH1/TMIGD2/FCGR2B/TNFRSF1B/FLT3LG/IL1B/PYCARD/IRF1/MALT1/IHH/PSMB10/HLA-DPA1/IL23A/XCL1/HAVCR2/TNFSF4/IL18/NFATC2/HHLA2/CD74/PIK3CG/TNFSF8/F2RL1/CHRNB2/LGALS9C/GPR183/SH3RF1/CASP3/TNFSF9/NCSTN/ABL1/TNFRSF14/CD80/HLA-G/LEF1/CD4/TLR9/CD38/TNFSF13B/NPR3/TGFB1/MEF2C/IL5RA/TNFRSF4/MNDA/PRKAR1A/IDO1/LGALS9/FYN/IGF1/HELLS/BAX/LYN/RIPK3/TYROBP/IL34/IRS2/IL4/LILRB2/ATAD5/IL7",124
"GO:0046651","GO:0046651","lymphocyte proliferation","117/2549","272/18670",6.50378811052259e-33,5.02986712997541e-30,4.06829061545058e-30,"MS4A1/CD19/CD79A/FCRL3/CR2/MZB1/CARD11/TNFRSF13B/CCDC88B/RASAL3/LILRB1/GAPT/INPP5D/BTK/CORO1A/PTPRC/TNFRSF13C/DOCK2/SASH3/ZAP70/JAK3/PLA2G2D/CLECL1/IKZF3/CD6/CTLA4/IL12RB1/PTPN6/PTPN22/RAC2/CD3E/DOCK8/CD28/SPN/BTN2A2/CD180/CD40LG/CD300A/NCKAP1L/HLA-DMB/LST1/HLA-DPB1/IL7R/IL12A/ATM/BTN3A1/ADA/P2RX7/TMEM131L/CD70/CD40/CD274/CCR2/ELF4/CCL19/CD22/CD86/PKN1/FOXP3/GNRH1/IMPDH1/TMIGD2/FCGR2B/TNFRSF1B/FLT3LG/IL1B/PYCARD/IRF1/MALT1/IHH/PSMB10/HLA-DPA1/IL23A/XCL1/HAVCR2/TNFSF4/IL18/NFATC2/HHLA2/CD74/PIK3CG/TNFSF8/CHRNB2/LGALS9C/GPR183/SH3RF1/CASP3/TNFSF9/NCSTN/ABL1/TNFRSF14/CD80/HLA-G/LEF1/CD4/TLR9/CD38/TNFSF13B/TGFB1/MEF2C/TNFRSF4/MNDA/PRKAR1A/IDO1/LGALS9/FYN/IGF1/HELLS/BAX/LYN/RIPK3/TYROBP/IRS2/IL4/LILRB2/ATAD5/IL7",117
"GO:0032943","GO:0032943","mononuclear cell proliferation","117/2549","274/18670",1.50075334806741e-32,1.03168455161034e-29,8.34453966866954e-30,"MS4A1/CD19/CD79A/FCRL3/CR2/MZB1/CARD11/TNFRSF13B/CCDC88B/RASAL3/LILRB1/GAPT/INPP5D/BTK/CORO1A/PTPRC/TNFRSF13C/DOCK2/SASH3/ZAP70/JAK3/PLA2G2D/CLECL1/IKZF3/CD6/CTLA4/IL12RB1/PTPN6/PTPN22/RAC2/CD3E/DOCK8/CD28/SPN/BTN2A2/CD180/CD40LG/CD300A/NCKAP1L/HLA-DMB/LST1/HLA-DPB1/IL7R/IL12A/ATM/BTN3A1/ADA/P2RX7/TMEM131L/CD70/CD40/CD274/CCR2/ELF4/CCL19/CD22/CD86/PKN1/FOXP3/GNRH1/IMPDH1/TMIGD2/FCGR2B/TNFRSF1B/FLT3LG/IL1B/PYCARD/IRF1/MALT1/IHH/PSMB10/HLA-DPA1/IL23A/XCL1/HAVCR2/TNFSF4/IL18/NFATC2/HHLA2/CD74/PIK3CG/TNFSF8/CHRNB2/LGALS9C/GPR183/SH3RF1/CASP3/TNFSF9/NCSTN/ABL1/TNFRSF14/CD80/HLA-G/LEF1/CD4/TLR9/CD38/TNFSF13B/TGFB1/MEF2C/TNFRSF4/MNDA/PRKAR1A/IDO1/LGALS9/FYN/IGF1/HELLS/BAX/LYN/RIPK3/TYROBP/IRS2/IL4/LILRB2/ATAD5/IL7",117
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","123/2549","304/18670",2.00973508013635e-31,1.24342309408036e-28,1.00571374431244e-28,"LAX1/CARD11/CCDC88B/RASAL3/SIRPG/LILRB1/BTLA/CORO1A/LCK/TIGIT/PTPRC/TNFRSF13C/TESPA1/SASH3/RIPOR2/ZAP70/JAK3/PLA2G2D/CD27/CLECL1/PDCD1/CD6/KLRK1/CTLA4/GRAP2/IL12RB1/VAV1/PTPN6/NOD2/ITGA4/ADORA2A/ICOS/PTPN22/LAG3/TNFSF11/RASGRP1/CD3E/RUNX3/DOCK8/IL4R/CD28/SPN/SKAP1/MYB/BTN2A2/CD5/CD40LG/TBX21/CD300A/NCKAP1L/HLA-DMB/CSK/HLA-DPB1/IL7R/ADAM8/IL12A/ADA/CCR7/TMEM131L/PAG1/CD70/TNF/CD274/ADTRP/CCR2/ITGB2/CCL19/CD86/ITPKB/FOXP3/GNRH1/TMIGD2/DUSP22/FCGR2B/SIRPB1/IL1B/CD83/PYCARD/IRF1/MALT1/IHH/NLRP3/HLA-DPA1/HLX/IL23A/XCL1/HAVCR2/TNFSF4/IFNG/IL18/HHLA2/ZMIZ1/TNFAIP8L2/CD74/GLI3/CCL25/LGALS9C/CASP3/CYLD/TNFSF9/TNFRSF14/CD80/NFAT5/GATA3/FLOT2/HLA-G/DTX1/CD4/TNFSF13B/TGFB1/NFKBID/PRKAR1A/IDO1/AP3B1/LGALS9/FYN/IGF1/LILRB4/LYN/IL4/LILRB2/IL7/SOCS6",123
