"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","22/296","357/18670",6.54695674115371e-08,0.000222531059631815,0.00020895129304398,"MS4A1/CD19/P2RX5/CXCL9/NMU/CXCL13/JSRP1/P2RX1/ANXA2/GPR174/P2RX2/CXCL10/P2RY10/CXCR4/GNB1/DIAPH1/CCR4/CCKBR/CXCL11/PDE6A/PRKACA/CD52",22
"GO:0030098","GO:0030098","lymphocyte differentiation","21/296","353/18670",2.36705463815881e-07,0.000378002979410631,0.000354935672588852,"CD79A/MS4A1/CD19/CR2/IRF4/SPINK5/FCRL3/PLA2G2D/ANXA1/LY9/PATZ1/TNFRSF18/LAG3/CD27/IHH/IKZF3/RHOH/INHA/CD3D/PTPN22/SLAMF6",21
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","24/296","458/18670",3.33630167176197e-07,0.000378002979410631,0.000354935672588852,"MS4A1/CD19/P2RX5/CXCL9/NMU/CXCL13/JSRP1/P2RX1/ANXA2/GPR174/P2RX2/CXCL10/P2RY10/CXCR4/GNB1/DIAPH1/CCR4/CCKBR/CXCL11/ANXA6/PDE6A/PRKACA/ATP2A1/CD52",24
"GO:0055074","GO:0055074","calcium ion homeostasis","24/296","471/18670",5.52190663951365e-07,0.000469224016692673,0.000440590024500142,"MS4A1/CD19/P2RX5/CXCL9/NMU/CXCL13/JSRP1/P2RX1/ANXA2/GPR174/P2RX2/CXCL10/P2RY10/CXCR4/GNB1/DIAPH1/CCR4/CCKBR/CXCL11/ANXA6/PDE6A/PRKACA/ATP2A1/CD52",24
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","19/296","319/18670",8.83101472303184e-07,0.000600332380871704,0.00056369761347858,"MS4A1/CD19/P2RX5/CXCL9/NMU/CXCL13/JSRP1/GPR174/P2RX2/CXCL10/P2RY10/CXCR4/GNB1/DIAPH1/CCR4/CCKBR/CXCL11/PRKACA/CD52",19
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","24/296","493/18670",1.24048872821807e-06,0.000702736864535537,0.000659852951571437,"MS4A1/CD19/P2RX5/CXCL9/NMU/CXCL13/JSRP1/P2RX1/ANXA2/GPR174/P2RX2/CXCL10/P2RY10/CXCR4/GNB1/DIAPH1/CCR4/CCKBR/CXCL11/ANXA6/PDE6A/PRKACA/ATP2A1/CD52",24
"GO:0051249","GO:0051249","regulation of lymphocyte activation","23/296","485/18670",3.22607579239718e-06,0.001566490231194,0.00147089651166139,"IGLL5/MZB1/CD19/TNFRSF13B/IRF4/SPINK5/FCRL3/PLA2G2D/ICOSLG/TNFRSF13C/ANXA1/LAX1/TIGIT/TNFRSF18/LAG3/CD27/IHH/IKZF3/INHA/SLA2/TRAF6/SIRPG/PTPN22",23
"GO:0050855","GO:0050855","regulation of B cell receptor signaling pathway","6/296","29/18670",5.27507475069127e-06,0.00200982730438938,0.00188717932113426,"STAP1/BLK/CD19/FCRL3/PAX5/PTPN22",6
"GO:0042110","GO:0042110","T cell activation","22/296","464/18670",5.32169630464972e-06,0.00200982730438938,0.00188717932113426,"IRF4/SPINK5/PLA2G2D/ICOSLG/TNFRSF13C/ANXA1/LY9/PATZ1/LAX1/TIGIT/TNFRSF18/MSN/LAG3/CD27/IHH/RHOH/CD3D/SLA2/TRAF6/SIRPG/PTPN22/SLAMF6",22
"GO:0046651","GO:0046651","lymphocyte proliferation","16/296","272/18670",7.63168242152206e-06,0.00258593553439398,0.00242813104172513,"CD79A/MZB1/MS4A1/CD19/TNFRSF13B/CR2/FCRL3/PLA2G2D/ICOSLG/TNFRSF13C/ANXA1/MSN/IHH/IKZF3/TRAF6/PTPN22",16
"GO:0032943","GO:0032943","mononuclear cell proliferation","16/296","274/18670",8.36872341227825e-06,0.00258593553439398,0.00242813104172513,"CD79A/MZB1/MS4A1/CD19/TNFRSF13B/CR2/FCRL3/PLA2G2D/ICOSLG/TNFRSF13C/ANXA1/MSN/IHH/IKZF3/TRAF6/PTPN22",16
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","17/296","316/18670",1.28422579608296e-05,0.00363756956740498,0.00341559001203819,"CD79A/IGLL5/STAP1/MS4A1/BLK/CD19/FCRL3/PAX5/ICOSLG/LAX1/TRAT1/CD3D/SLA2/BCAR1/TRAF6/BTNL2/PTPN22",17
